cityId,stateId,en_name,lat,lng,state_name,country_name
885,2,Uduwahinna,7.2833,80.8917,Central,Sri Lanka
886,2,Uduwela,7.2722,80.6667,Central,Sri Lanka
887,2,Ulapane,7.114072,80.552445,Central,Sri Lanka
888,2,Unuwinna,7.1517,80.7118,Central,Sri Lanka
889,2,Velamboda,7.0523,80.5023,Central,Sri Lanka
890,2,Watagoda,7.39731,80.588304,Central,Sri Lanka
891,2,Watagoda Harispattuwa,7.3569,80.6012,Central,Sri Lanka
892,2,Wattappola,7.234802,80.543661,Central,Sri Lanka
893,2,Weligampola,7.0271,80.5493,Central,Sri Lanka
894,2,Wendaruwa,7.3552,80.8375,Central,Sri Lanka
895,2,Weragantota,7.3167,80.9833,Central,Sri Lanka
896,2,Werapitya,7.2969,80.7686,Central,Sri Lanka
897,2,Werellagama,7.3167,80.5833,Central,Sri Lanka
898,2,Wettawa,7.3508,80.5221,Central,Sri Lanka
899,2,Yahalatenna,7.3,80.5667,Central,Sri Lanka
900,2,Yatihalagala,7.3,80.6,Central,Sri Lanka
